ja;n;jp;s;sc;madm;mev;mabs;nro;nmate;lm;nlm;h;sp
B;B11076323;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 85;313;5.70;5.22;7.62;5.70;4.75;-;-;<b>Colegiul Tehnic Media</b><br/>Tehnic/Liceal/Zi;<b>(161) Producţie media</b><br/>Limba română
B;B11067286;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 133;214;7.59;7.22;9.09;8.25;6.20;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;B10818524;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfânta Treime;189;6.49;5.97;8.61;6.25;5.70;-;-;<b>Colegiul Economic Viilor</b><br/>Servicii/Liceal/Zi;<b>(350) Turism şi alimentaţie</b><br/>Limba română
B;B11093304;MUNICIPIUL BUCURESTI;Școala Gimnazială Voievod Neagoe Basarab;267;6.96;6.42;9.12;6.95;5.90;-;-;<b>Liceul Teoretic Nichita Stănescu</b><br/>Umanist/Liceal/Zi;<b>(264) Ştiinţe Sociale</b><br/>Limba română
B;B13200115;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Mărțișor”;327;9.01;8.87;9.58;8.35;9.40;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Real/Liceal/Zi;<b>(200) Matematică-Informatică</b><br/>Limba română
B;IF9088218;ILFOV;ŞCOALA GIMNAZIALA NR. 1 PANTELIMON;116;9.43;9.32;9.90;9.05;9.60;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Real/Liceal/Zi;<b>(297) Matematică-Informatică</b><br/>Limba română
B;B11072381;MUNICIPIUL BUCURESTI;Colegiul Național ”Emil Racoviță”;116;8.89;8.65;9.87;8.00;9.30;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Umanist/Liceal/Zi;<b>(253) Ştiinţe Sociale</b><br/>Limba română
B;B10740517;MUNICIPIUL BUCURESTI;Școala Gimnazială Șerban-Vodă;268;8.62;8.32;9.82;8.40;8.25;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Real/Liceal/Zi;<b>(164) Matematică-Informatică</b><br/>Limba română
B;B10710141;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 124;206;6.93;6.57;8.38;6.55;6.60;-;-;<b>Colegiul Tehnic Gheorghe Asachi</b><br/>Umanist/Liceal/Zi;<b>(394) Ştiinţe Sociale</b><br/>Limba română
B;B10758370;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;9.30;9.15;9.90;9.50;8.80;-;-;<b>Colegiul Național Matei Basarab</b><br/>Real/Liceal/Zi;<b>(247) Matematică-Informatică</b><br/>Limba română
B;B8525942;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Mircea Sântimbreanu;176;8.01;7.75;9.05;8.00;7.50;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Umanist/Liceal/Zi;<b>(334) Ştiinţe Sociale</b><br/>Limba română
B;B10782982;MUNICIPIUL BUCURESTI;Școala Gimnazială Nicolae Labiș;265;5.97;5.47;7.97;6.85;4.10;-;-;<b>Liceul Tehnologic Elie Radu</b><br/>Servicii/Liceal/Zi;<b>(287) Economic</b><br/>Limba română
B;B10838582;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.47;9.40;9.77;8.80;10.00;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(137) Matematică-Informatică</b><br/>Limba română
B;B10805756;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 86;314;8.27;8.20;8.58;8.00;8.40;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B10766802;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 56;302;9.12;8.95;9.83;8.80;9.10;-;-;<b>Colegiul Național ”Cantemir Vodă”</b><br/>Real/Liceal/Zi;<b>(182) Matematică-Informatică</b><br/>Limba română
B;B12587225;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Uruguay;192;5.10;4.25;8.54;3.85;4.65;-;-;<b>Colegiul Tehnic Costin D. Nenițescu</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(274) Protecţia mediului</b><br/>Limba română
B;B10976915;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 84;250;8.96;8.72;9.94;8.60;8.85;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(252) Ştiinţe ale Naturii</b><br/>Limba română
B;B10787383;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;9.47;9.35;9.96;9.90;8.80;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Umanist/Liceal/Zi;<b>(358) Filologie</b><br/>Limba română
B;B11036590;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;9.58;9.55;9.70;9.80;9.30;-;-;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Real/Liceal/Zi;<b>(187) Ştiinţe ale Naturii</b><br/>Limba română
B;B11024499;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Herăstrău;169;6.96;6.50;8.83;7.30;5.70;-;-;<b>Colegiul Tehnic de Aeronautică Henri Coandă</b><br/>Umanist/Liceal/Zi;<b>(167) Filologie</b><br/>Limba română
B;B10975194;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;6.98;6.32;9.62;7.65;5.00;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Real/Liceal/Zi;<b>(134) Ştiinţe ale Naturii</b><br/>Limba română
B;B10796259;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;5.26;4.47;8.42;5.45;3.50;-;-;<b>Colegiul Tehnologic Viaceslav Harnaj</b><br/>Servicii/Liceal/Zi;<b>(177) Turism şi alimentaţie</b><br/>Limba română
B;CL9198118;CALARASI;SCOALA GIMNAZIALA DIMITRIE ION GHICA RADOVANU;115;9.19;9.00;9.99;8.30;9.70;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;B8076268;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 24;285;7.20;6.72;9.16;7.55;5.90;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Umanist/Liceal/Zi;<b>(363) Ştiinţe Sociale</b><br/>Limba română
B;B10601175;MUNICIPIUL BUCURESTI;Liceul Teoretic Internațional de Informatică Bucuresti;146;9.76;9.70;10.00;9.60;9.80;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(321) Ştiinţe ale Naturii</b><br/>Limba română
B;B10381611;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. G. Duca;170;9.20;9.05;9.83;9.10;9.00;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Real/Liceal/Zi;<b>(300) Matematică-Informatică</b><br/>Limba română
B;B11094381;MUNICIPIUL BUCURESTI;Liceul Teoretic Bilingv ”Ita Wegman”;144;8.94;8.70;9.93;9.00;8.40;-;-;<b>Colegiul Naţional Ion Neculce</b><br/>Real/Liceal/Zi;<b>(125) Ştiinţe ale Naturii</b><br/>Limba română
B;B10598672;MUNICIPIUL BUCURESTI;Colegiul Național Școala Centrală”;113;7.65;7.42;8.57;7.60;7.25;-;-;<b>Colegiul Național ”Victor Babeș”</b><br/>Real/Liceal/Zi;<b>(207) Ştiinţe ale Naturii</b><br/>Limba română
B;B10990470;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;9.36;9.30;9.63;9.50;9.10;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(105) Matematică-Informatică</b><br/>Limba română
B;B10774921;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfinţii Constantin și Elena;188;8.50;8.25;9.50;9.00;7.50;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(367) Ştiinţe Sociale</b><br/>Limba română
B;B10492226;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 20;283;9.05;8.87;9.81;8.60;9.15;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;B10918502;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;8.99;8.85;9.58;9.45;7.60;Limba germană;sept.50;<b>Colegiul German Goethe</b><br/>Real/Liceal/Zi;<b>(121) Matematică-Informatică</b><br/>Limba germană
B;B10640849;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 77;307;8.32;7.92;9.94;8.15;7.70;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Umanist/Liceal/Zi;<b>(165) Filologie</b><br/>Limba română
B;B10642341;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 49;298;9.80;9.75;10.00;9.70;9.80;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(181) Ştiinţe ale Naturii</b><br/>Limba română
B;IF9350178;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 BERCENI;136;5.84;5.30;8.00;5.00;5.60;-;-;<b>Colegiul Tehnic Anghel Saligny</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(281) Protecţia mediului</b><br/>Limba română
B;IF7936650;ILFOV;LICEUL TEORETIC MIHAIL KOGĂLNICEANU SNAGOV;109;8.62;8.30;9.93;8.70;7.90;-;-;<b>Colegiul Naţional Aurel Vlaicu</b><br/>Real/Liceal/Zi;<b>(118) Ştiinţe ale Naturii</b><br/>Limba română
B;B10286768;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;9.83;9.82;9.88;9.65;10.00;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(196) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10705695;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;7.33;6.92;9.00;7.75;6.10;-;-;<b>Liceul Teoretic Decebal</b><br/>Umanist/Liceal/Zi;<b>(267) Filologie</b><br/>Limba română/Limba engleză
B;B12799861;MUNICIPIUL BUCURESTI;Liceul Teoretic Alexandru Vlahuţă;130;7.17;6.77;8.80;5.85;7.70;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Real/Liceal/Zi;<b>(360) Matematică-Informatică</b><br/>Limba română
B;B11036591;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;9.10;8.90;9.90;8.75;9.05;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Umanist/Liceal/Zi;<b>(303) Filologie</b><br/>Limba română
B;B10978597;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;8.59;8.27;9.88;8.10;8.45;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B10908947;MUNICIPIUL BUCURESTI;Școala Gimnazială Cezar Bolliac;269;9.63;9.57;9.91;9.60;9.55;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(197) Ştiinţe ale Naturii</b><br/>Limba română/Limba engleză
B;B10794898;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;5.25;4.40;8.65;5.10;3.70;-;-;<b>Colegiul Tehnic Anghel Saligny</b><br/>Tehnic/Liceal/Zi;<b>(279) Electric</b><br/>Limba română
B;B10739015;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 311;245;8.24;8.07;8.92;8.15;8.00;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Umanist/Liceal/Zi;<b>(334) Ştiinţe Sociale</b><br/>Limba română
B;TR8207002;TELEORMAN;ȘCOALA GIMNAZIALĂ MIRCEA CEL BĂTRÂN TURNU MĂGURELE;118;8.54;8.22;9.83;7.90;8.55;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Real/Liceal/Zi;<b>(364) Matematică-Informatică</b><br/>Limba română
B;B11017529;MUNICIPIUL BUCURESTI;Şcoala Gimnazială General Eremia Grigorescu;164;7.67;7.17;9.67;7.80;6.55;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;B10809804;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;6.31;5.82;8.28;5.60;6.05;-;-;<b>Liceul Tehnologic Dacia</b><br/>Tehnic/Liceal/Zi;<b>(316) Electric</b><br/>Limba română
B;B10852952;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;9.24;9.22;9.32;9.00;9.45;-;-;<b>Colegiul Național ”Cantemir Vodă”</b><br/>Real/Liceal/Zi;<b>(182) Matematică-Informatică</b><br/>Limba română
B;B10810755;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;7.89;7.65;8.87;7.70;7.60;-;-;<b>Liceul Teoretic Nichita Stănescu</b><br/>Real/Liceal/Zi;<b>(263) Matematică-Informatică</b><br/>Limba română
B;B10879587;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Titu Maiorescu;191;9.70;9.65;9.92;9.50;9.80;-;-;<b>Colegiul Naţional Sfântul Sava</b><br/>Real/Liceal/Zi;<b>(101) Matematică-Informatică</b><br/>Limba română
B;BT10383239;BOTOSANI;LICEUL TEHNOLOGIC COŢUŞCA;109;7.15;6.57;9.49;8.50;4.65;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Umanist/Liceal/Zi;<b>(363) Ştiinţe Sociale</b><br/>Limba română
B;B10828861;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Titu Maiorescu;191;9.43;9.32;9.91;9.15;9.50;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(108) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10740239;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Tudor Arghezi”;329;6.36;5.85;8.44;5.45;6.25;-;-;<b>Colegiul Economic Viilor</b><br/>Servicii/Liceal/Zi;<b>(351) Economic</b><br/>Limba română
B;B8454851;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 124;206;6.73;6.15;9.07;7.25;5.05;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Umanist/Liceal/Zi;<b>(343) Ştiinţe Sociale</b><br/>Limba română
B;B10656427;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Constantin Brâncuşi;160;9.39;9.30;9.79;8.80;9.80;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(139) Ştiinţe ale Naturii</b><br/>Limba română/Limba engleză
B;B8545410;MUNICIPIUL BUCURESTI;LICEUL TEORETIC SCOALA MEA;122;8.41;8.22;9.19;9.05;7.40;-;-;<b>Liceul Teoretic Alexandru Vlahuţă</b><br/>Umanist/Liceal/Zi;<b>(142) Filologie</b><br/>Limba română
B;B8052579;MUNICIPIUL BUCURESTI;Colegiul Naţional Ion Neculce;108;9.61;9.55;9.85;9.85;9.25;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(138) Ştiinţe ale Naturii</b><br/>Limba română
B;B11068096;MUNICIPIUL BUCURESTI;Școala Gimnazială Avram Iancu;255;6.48;6.05;8.22;7.95;4.15;-;-;<b>Colegiul Tehnologic Grigore Cerchez</b><br/>Umanist/Liceal/Zi;<b>(346) Ştiinţe Sociale</b><br/>Limba română
B;B10787500;MUNICIPIUL BUCURESTI;Școala Gimnazială Nicolae Labiș;265;8.95;8.77;9.68;8.65;8.90;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Real/Liceal/Zi;<b>(293) Matematică-Informatică</b><br/>Limba română
B;B10728549;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;7.98;7.55;9.72;9.00;6.10;-;-;<b>Liceul Teoretic Dante Alighieri</b><br/>Umanist/Liceal/Zi;<b>(259) Filologie</b><br/>Limba română/Limba italiană
B;IF10780403;ILFOV;ȘCOALA GIMNAZIALĂ ”ANTON PANN” VOLUNTARI;177;8.99;8.87;9.50;9.30;8.45;-;-;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Umanist/Liceal/Zi;<b>(188) Filologie</b><br/>Limba română
B;B10975272;MUNICIPIUL BUCURESTI;Colegiul Naţional de Informatică Tudor Vianu;111;9.64;9.55;10.00;9.30;9.80;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B10688961;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;7.84;7.52;9.13;7.25;7.80;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;B10715576;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 309;244;9.69;9.62;10.00;9.75;9.50;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;TL8929106;TULCEA;COLEGIUL DOBROGEAN SPIRU HARET TULCEA;101;9.54;9.45;9.93;9.55;9.35;-;-;<b>Colegiul Naţional Sfântul Sava</b><br/>Umanist/Liceal/Zi;<b>(104) Filologie</b><br/>Limba română
B;B10768253;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.79;9.75;9.99;9.70;9.80;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B10674826;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 80;310;5.85;5.25;8.25;5.50;5.00;-;-;<b>Colegiul Economic ”Hermes”</b><br/>Servicii/Liceal/Zi;<b>(245) Turism şi alimentaţie</b><br/>Limba română
B;B10896628;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Principesa Margareta;183;9.34;9.22;9.84;9.35;9.10;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Real/Liceal/Zi;<b>(297) Matematică-Informatică</b><br/>Limba română
B;B10689015;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;7.65;7.17;9.60;8.20;6.15;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;B10911085;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 66;304;5.12;4.30;8.43;5.60;3.00;-;-;<b>Liceul Tehnologic ”Sfântul Pantelimon”</b><br/>Real/Liceal/Zi;<b>(232) Ştiinţe ale Naturii</b><br/>Limba română
B;B10669678;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;9.85;9.82;10.00;10.00;9.65;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Real/Liceal/Zi;<b>(193) Ştiinţe ale Naturii</b><br/>Limba română
B;B10758375;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;8.82;8.60;9.70;9.45;7.75;-;-;<b>Colegiul Naţional Ion Neculce</b><br/>Umanist/Liceal/Zi;<b>(129) Ştiinţe Sociale</b><br/>Limba română
B;B10677762;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 4;293;8.21;7.90;9.46;8.15;7.65;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B10808139;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 59;247;9.21;9.02;9.97;9.20;8.85;-;-;<b>Colegiul Național Matei Basarab</b><br/>Umanist/Liceal/Zi;<b>(250) Ştiinţe Sociale</b><br/>Limba română
B;B10705515;MUNICIPIUL BUCURESTI;Școala Gimnazială „Sfântul Calinic de la Cernica”;332;8.73;8.50;9.66;8.50;8.50;-;-;<b>Liceul Teoretic Ion Barbu</b><br/>Real/Liceal/Zi;<b>(324) Matematică-Informatică</b><br/>Limba română
B;B9231199;MUNICIPIUL BUCURESTI;Colegiul Naţional Grigore Moisil;106;9.65;9.57;9.97;9.60;9.55;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Umanist/Liceal/Zi;<b>(322) Filologie</b><br/>Limba română
B;B10669880;MUNICIPIUL BUCURESTI;Liceul Teoretic Bilingv Miguel de Cervantes;143;8.81;8.55;9.85;8.65;8.45;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Umanist/Liceal/Zi;<b>(148) Filologie</b><br/>Limba română/Limba spaniolă
B;AG10819646;ARGES;ȘCOALA GIMNAZIALĂ ALEXANDRU DAVILA PITEȘTI;122;9.92;9.90;10.00;9.80;10.00;-;-;<b>Colegiul Naţional Sfântul Sava</b><br/>Real/Liceal/Zi;<b>(102) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10740539;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 134;215;4.47;3.72;7.47;3.95;3.50;-;-;<b>Colegiul Tehnic Energetic</b><br/>Tehnic/Liceal/Zi;<b>(338) Electric</b><br/>Limba română
B;B10794019;MUNICIPIUL BUCURESTI;Liceul Teoretic Dante Alighieri;131;5.74;5.00;8.71;6.00;4.00;-;-;<b>Liceul Tehnologic ”Nikola Tesla”</b><br/>Tehnic/Liceal/Zi;<b>(241) Electronică automatizări</b><br/>Limba română
B;B11010845;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;5.69;5.15;7.85;6.70;3.60;-;-;<b>Colegiul Tehnic Carol I</b><br/>Real/Liceal/Zi;<b>(397) Ştiinţe ale Naturii</b><br/>Limba română
B;B10896394;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Petre Ispirescu;181;9.39;9.27;9.88;9.45;9.10;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(138) Ştiinţe ale Naturii</b><br/>Limba română
B;B9901655;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 279;242;8.97;8.80;9.68;8.50;9.10;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Real/Liceal/Zi;<b>(145) Matematică-Informatică</b><br/>Limba română
B;B10669730;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;7.73;7.30;9.49;6.95;7.65;-;-;<b>Colegiul Economic ”Hermes”</b><br/>Servicii/Liceal/Zi;<b>(244) Economic</b><br/>Limba română
B;B10769977;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 179;231;8.71;8.62;9.10;8.85;8.40;-;-;<b>Colegiul Naţional Ion Neculce</b><br/>Umanist/Liceal/Zi;<b>(126) Filologie</b><br/>Limba română
B;B10789494;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 4;293;9.63;9.60;9.77;9.60;9.60;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(196) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10078283;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;7.95;7.57;9.48;7.70;7.45;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B11013139;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;7.58;7.25;8.92;9.25;5.25;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Umanist/Liceal/Zi;<b>(329) Filologie</b><br/>Limba română
B;B10852315;MUNICIPIUL BUCURESTI;Colegiul Naţional Mihai Eminescu;109;7.92;7.57;9.33;7.15;8.00;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Umanist/Liceal/Zi;<b>(334) Ştiinţe Sociale</b><br/>Limba română
B;B9465504;MUNICIPIUL BUCURESTI;Școala Gimnazială Mihai Botez;264;7.57;7.17;9.21;8.75;5.60;-;-;<b>Liceul Teoretic Benjamin Franklin</b><br/>Real/Liceal/Zi;<b>(260) Matematică-Informatică</b><br/>Limba română
B;B10628859;MUNICIPIUL BUCURESTI;Liceul Teoretic Jean Monnet;137;6.56;5.87;9.32;6.40;5.35;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Umanist/Liceal/Zi;<b>(225) Ştiinţe Sociale</b><br/>Limba română
B;B11054520;MUNICIPIUL BUCURESTI;Colegiul Naţional Mihai Eminescu;109;9.34;9.22;9.86;9.65;8.80;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;B10556388;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 197;239;9.61;9.57;9.77;9.15;10.00;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Real/Liceal/Zi;<b>(356) Matematică-Informatică</b><br/>Limba română
B;B10650565;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 49;298;8.76;8.55;9.63;8.50;8.60;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Umanist/Liceal/Zi;<b>(147) Filologie</b><br/>Limba română
B;B10703616;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;8.12;7.80;9.42;7.40;8.20;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Umanist/Liceal/Zi;<b>(307) Ştiinţe Sociale</b><br/>Limba română
B;BZ9321433;BUZAU;ŞCOALA GIMNAZIALĂ TACHE ŞI ECATERINA TOCILESCU COMUNA VINTILĂ VODĂ;138;5.34;4.75;7.70;6.35;3.15;-;-;<b>Colegiul Tehnic Costin D. Nenițescu</b><br/>Real/Liceal/Zi;<b>(272) Ştiinţe ale Naturii</b><br/>Limba română
B;B11101666;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 127;209;7.85;7.35;9.89;8.65;6.05;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Umanist/Liceal/Zi;<b>(329) Filologie</b><br/>Limba română
B;B10998368;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;9.19;9.02;9.87;9.20;8.85;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Real/Liceal/Zi;<b>(302) Ştiinţe ale Naturii</b><br/>Limba română
B;B10708867;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 309;244;9.33;9.27;9.60;8.95;9.60;-;-;<b>Colegiul Național Matei Basarab</b><br/>Real/Liceal/Zi;<b>(247) Matematică-Informatică</b><br/>Limba română
B;B10808223;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 59;247;9.65;9.57;10.00;9.40;9.75;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B10738926;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 206;241;6.63;6.15;8.58;7.05;5.25;-;-;<b>Liceul Tehnologic Petru Poni</b><br/>Servicii/Liceal/Zi;<b>(386) Economic</b><br/>Limba română
B;B10588148;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 178;230;6.79;6.10;9.59;6.55;5.65;-;-;<b>Colegiul Tehnic Dinicu Golescu</b><br/>Servicii/Liceal/Zi;<b>(158) Turism şi alimentaţie</b><br/>Limba română
